subject_id	population	sex
NA18912	YRI	female
NA18916	YRI	female
NA18917	YRI	male
NA18923	YRI	male
NA18933	YRI	female
NA18934	YRI	male
NA19092	YRI	male
NA19093	YRI	female
NA19095	YRI	female
NA19096	YRI	male
NA19098	YRI	male
NA19099	YRI	female
NA19102	YRI	female
NA19107	YRI	male
NA19108	YRI	female
NA19113	YRI	male
NA19114	YRI	female
NA19116	YRI	female
NA19117	YRI	male
NA19118	YRI	female
NA19119	YRI	male
NA19121	YRI	male
NA19129	YRI	female
NA19130	YRI	male
NA19131	YRI	female
NA19137	YRI	female
NA19138	YRI	male
NA19141	YRI	male
NA19143	YRI	female
NA19144	YRI	male
NA19146	YRI	male
NA19147	YRI	female
NA19149	YRI	female
NA19152	YRI	female
NA19153	YRI	male
NA19159	YRI	female
NA19160	YRI	male
NA19171	YRI	male
NA19172	YRI	female
NA19175	YRI	male
NA19184	YRI	male
NA19185	YRI	female
NA19189	YRI	male
NA19190	YRI	female
NA19197	YRI	female
NA19198	YRI	male
NA19200	YRI	male
NA19201	YRI	female
NA19204	YRI	female
NA19206	YRI	female
NA19207	YRI	male
NA19209	YRI	female
NA19210	YRI	male
NA19213	YRI	male
NA19214	YRI	female
NA19222	YRI	female
NA19223	YRI	male
NA19225	YRI	female
NA19235	YRI	female
NA19236	YRI	male
NA19247	YRI	female
NA19248	YRI	male
NA19256	YRI	male
NA19257	YRI	female
NA20502	TSI	female
NA20503	TSI	female
NA20504	TSI	female
NA20505	TSI	female
NA20506	TSI	female
NA20507	TSI	female
NA20508	TSI	female
NA20509	TSI	male
NA20510	TSI	male
NA20512	TSI	male
NA20513	TSI	male
NA20514	TSI	female
NA20515	TSI	male
NA20516	TSI	male
NA20517	TSI	female
NA20518	TSI	male
NA20519	TSI	male
NA20520	TSI	male
NA20521	TSI	male
NA20524	TSI	male
NA20525	TSI	male
NA20527	TSI	male
NA20528	TSI	male
NA20529	TSI	female
NA20530	TSI	female
NA20531	TSI	female
NA20532	TSI	male
NA20534	TSI	male
NA20535	TSI	female
NA20536	TSI	male
NA20538	TSI	male
NA20539	TSI	male
NA20540	TSI	female
NA20541	TSI	female
NA20542	TSI	female
NA20543	TSI	male
NA20544	TSI	male
NA20581	TSI	male
NA20582	TSI	female
NA20585	TSI	female
NA20586	TSI	male
NA20588	TSI	male
NA20589	TSI	female
NA20752	TSI	male
NA20754	TSI	male
NA20756	TSI	female
NA20757	TSI	female
NA20758	TSI	male
NA20759	TSI	male
NA20760	TSI	female
NA20761	TSI	female
NA20765	TSI	male
NA20766	TSI	female
NA20768	TSI	female
NA20769	TSI	female
NA20770	TSI	male
NA20771	TSI	female
NA20772	TSI	female
NA20773	TSI	female
NA20774	TSI	female
NA20778	TSI	male
NA20783	TSI	male
NA20785	TSI	male
NA20786	TSI	female
NA20787	TSI	male
NA20790	TSI	female
NA20792	TSI	male
NA20795	TSI	female
NA20796	TSI	male
NA20797	TSI	female
NA20798	TSI	male
NA20799	TSI	female
NA20800	TSI	female
NA20801	TSI	male
NA20802	TSI	female
NA20803	TSI	male
NA20804	TSI	female
NA20805	TSI	male
NA20806	TSI	male
NA20807	TSI	female
NA20808	TSI	female
NA20809	TSI	male
NA20810	TSI	male
NA20811	TSI	male
NA20812	TSI	male
NA20813	TSI	female
NA20814	TSI	male
NA20815	TSI	male
NA20819	TSI	female
NA20826	TSI	female
NA20828	TSI	female
